股票代號,股票名稱,產業,最新股價,漲跌幅%,5星總分,K值,D值,J值,MA5,MA20,均線差%,成交量,5日均量,量比,投信連買天數,投信淨買比%,外資連買天數,外資買超張數,投信買超張數,自營商買超張數,DIF,低流動性風險,均線過發散,黑名單否決,更新時間
3005,神基,電腦週邊,117.5,-0.84%,0,73.5,70.9,78.6,118.3,116.03,2.0,1665,2221.6,0.75,0,0.0,0,-365,-120,8,0.8985,正常,正常,正常,2026-09-23
3036,文曄,電子通路,206.0,+0.49%,0,78.3,72.1,90.7,205.4,195.53,5.0,4378,10710.6,0.41,0,0.0,1,1478,-357,42,0.4448,正常,正常,正常,2026-09-23
2634,漢翔,航運,62.5,-0.95%,0,26.3,28.3,22.5,63.56,65.07,2.3,4930,6907.8,0.71,1,0.04,0,-43,2,-9,-0.5821,正常,正常,🔴否決黑名單,2026-09-23
9939,宏全,其他,125.0,-0.40%,0,21.1,24.7,14.1,126.0,128.65,2.1,345,482.6,0.71,0,0.0,1,53,-45,0,-1.6749,⚠️低流動,正常,🔴否決黑名單,2026-09-23
6285,啟碁,通信網路,230.0,-1.50%,0,55.9,42.9,81.9,230.3,234.03,1.6,2561,3722.1,0.69,1,0.04,0,-464,1,-63,-3.5283,正常,正常,🔴否決黑名單,2026-09-23
5388,中磊,通信網路,72.6,+0.41%,0,52.6,45.3,67.1,73.06,74.08,1.4,1078,1682.0,0.64,0,0.0,1,80,0,28,-2.0948,正常,正常,🔴否決黑名單,2026-09-23
3596,智易,通信網路,152.0,-1.62%,0,31.3,32.2,29.6,154.2,156.38,1.4,998,703.2,1.42,0,0.0,0,-529,0,1,-3.676,正常,正常,🔴否決黑名單,2026-09-23
2449,京元電子,半導體,304.0,-4.10%,0,70.6,63.7,84.4,295.8,272.6,8.5,37725,42684.3,0.88,0,0.0,0,-3967,-162,-549,10.8472,正常,正常,正常,2026-09-23
2406,國碩,光電,29.9,-0.66%,0,72.4,56.9,103.4,28.93,27.71,4.4,7691,10741.6,0.72,0,0.0,0,-431,0,0,-0.2201,正常,正常,正常,2026-09-23
2312,金寶,電腦週邊,30.6,-1.45%,0,44.4,40.0,53.3,30.99,31.58,1.9,5951,7782.7,0.76,1,0.22,0,-1149,13,-111,-0.3561,正常,正常,🔴否決黑名單,2026-09-23
1476,儒鴻,紡織,281.0,+2.55%,0,17.1,10.3,30.7,280.0,296.32,5.5,1132,1292.0,0.88,0,0.0,1,426,-5,8,-11.6838,正常,正常,🔴否決黑名單,2026-09-23
9907,統一實,其他,14.85,-0.34%,0,9.8,13.8,1.7,14.93,15.16,1.5,582,1281.5,0.45,0,0.0,0,-183,-166,0,-0.0801,正常,正常,🔴否決黑名單,2026-09-23
3163,波若威,通信網路,663.0,-0.60%,0,33.7,24.0,53.2,662.8,707.0,6.3,1340,1710.4,0.78,0,0.0,0,-83,-4,0,-18.7116,正常,正常,🔴否決黑名單,2026-09-23
